category,model,variant,result,states,search,ce,correct
pthread,bounded_buffer_false.c, ,E,105.1 k,1:12,0:09,1
pthread,buggy_simple_loop1_vf_false.c, ,E,284,0:00,0:05,1
pthread,pthread-demo-datarace_true.c, ,V,455.6 k,1:31,0:05,1
pthread,pthread_vs_false.c, ,E,2065,0:01,0:06,1
pthread,qrcu_false.c, ,E,46.2 k,0:46,0:07,1
pthread,stack_cas_longer_false.c, ,E,41,0:00,0:04,1
pthread,stack_cas_longest_false.c, ,E,41,0:00,0:05,1
pthread,stack_longer_false.c, ,E,43,0:00,0:04,1
pthread,stack_longest_false.c, ,E,37,0:00,0:04,1
recursion,Ackermann02_false.c, ,E,39,0:00,0:03,1
recursion,Addition01_true.pkg.c,small.10.c,V,31,0:00,0:05,1
recursion,Addition01_true.pkg.c,small.100.c,V,211,4:55,0:10,1
recursion,Addition02_false.c, ,E,13,0:00,0:04,1
recursion,Addition02WithOverflowBug_false.c, ,E,10,0:00,0:04,1
recursion,EvenOdd03_false.c, ,E,7,0:00,0:03,1
recursion,EvenOdd03WithOverflowBug_false.c, ,E,6,0:00,0:04,1
recursion,Fibonacci04_false.c, ,E,98,0:01,0:07,1
recursion,Fibonacci05_false.c, ,E,1980,0:53,0:25,1
recursion,gcd01_true.pkg.c,big.10.c,V,135,0:44,0:07,1
recursion,gcd01_true.pkg.c,small.5.c,V,47,0:02,0:06,1
recursion,gcd02_true.pkg.c,small.5.c,V,121,0:17,0:07,1
recursion,gcd02_true.pkg.c,big.10.c,V,523,5:40,0:12,1
recursion,id2_b3_o2_false.c, ,E,10,0:00,0:05,1
recursion,id2_i5_o5_false.c, ,E,2,0:00,0:03,1
recursion,id2_i5_o5_true.c, ,V,3,0:00,0:03,1
recursion,id_b3_o2_false.c, ,E,10,0:00,0:04,1
recursion,id_i10_o10_false.c, ,E,2,0:00,0:03,1
recursion,id_i10_o10_true.c, ,V,3,0:00,0:03,1
recursion,id_i15_o15_false.c, ,E,2,0:00,0:03,1
recursion,id_i15_o15_true.c, ,V,3,0:00,0:05,1
recursion,id_i20_o20_false.c, ,E,2,0:00,0:05,1
recursion,id_i20_o20_true.c, ,V,3,0:00,0:05,1
recursion,id_i25_o25_false.c, ,E,2,0:00,0:05,1
recursion,id_i25_o25_true.c, ,V,3,0:00,0:03,1
recursion,id_i5_o5_false.c, ,E,2,0:00,0:03,1
recursion,id_i5_o5_true.c, ,V,3,0:00,0:03,1
recursion,id_o100_false.c, ,E,206,3:12,3:19,1
recursion,id_o10_false.c, ,E,26,0:00,0:05,1
recursion,id_o20_false.c, ,E,46,0:01,0:07,1
recursion,id_o3_false.c, ,E,12,0:00,0:04,1
recursion,McCarthy91_false.c, ,E,8,0:00,0:04,1
recursion,MultCommutative_true.pkg.c,small.5.c,V,87,0:10,0:06,1
recursion,recHanoi01_true.pkg.c,small.5.c,V,131,0:00,0:07,1
recursion,recHanoi02_true.c, ,V,68,0:06,0:07,1
recursion,recHanoi03_true.c, ,V,68,0:06,0:08,1
recursion,sum_10x0_false.c, ,E,2,0:00,0:03,1
recursion,sum_10x0_true.c, ,V,3,0:00,0:03,1
recursion,sum_15x0_false.c, ,E,2,0:00,0:04,1
recursion,sum_15x0_true.c, ,V,3,0:00,0:03,1
recursion,sum_20x0_false.c, ,E,2,0:00,0:04,1
recursion,sum_20x0_true.c, ,V,3,0:00,0:04,1
recursion,sum_25x0_false.c, ,E,2,0:00,0:03,1
recursion,sum_25x0_true.c, ,V,3,0:00,0:04,1
recursion,sum_2x3_false.c, ,E,2,0:00,0:04,1
recursion,sum_2x3_true.c, ,V,3,0:00,0:04,1
recursion,sum_non_eq_false.c, ,E,7,0:00,0:05,1
systemc,kundu1_false.cil.c, ,E,251,0:00,0:06,1
systemc,kundu2_false.cil.c, ,E,95,0:00,0:05,1
systemc,pc_sfifo_1_false.cil.c, ,E,5,0:00,0:04,1
systemc,pc_sfifo_2_false.cil.c, ,E,5,0:00,0:03,1
systemc,token_ring.01_false.cil.c, ,E,293,0:00,0:06,1
systemc,token_ring.02_false.cil.c, ,E,1923,0:03,0:07,1
systemc,token_ring.03_false.cil.c, ,E,9402,1:44,0:08,1
systemc,transmitter.01_false.cil.c, ,E,35,0:00,0:06,1
systemc,transmitter.02_false.cil.c, ,E,195,0:00,0:07,1
systemc,transmitter.03_false.cil.c, ,E,827,0:00,0:10,1
systemc,transmitter.04_false.cil.c, ,E,1995,0:03,0:07,1
systemc,transmitter.05_false.cil.c, ,E,9939,1:35,0:07,1
systemc,transmitter.15_false.cil.c, ,E,7,0:00,0:05,1
systemc,transmitter.16_false.cil.c, ,E,7,0:00,0:05,1
