category,model,variant,result,states,search
array,standard_copy7_false.pkg.c,v.10.c,E,669,0:00
array,standard_copy7_true.pkg.c,v.10.c,V,751,0:00
array,standard_copy7_true.pkg.c,v.100.c,V,7321,0:40
array,standard_copy8_false.pkg.c,v.10.c,E,751,0:00
array,standard_copy8_true.pkg.c,v.100.c,V,8123,0:45
array,standard_copy8_true.pkg.c,v.10.c,V,833,0:00
array,standard_copy9_false.pkg.c,v.10.c,E,833,0:00
array,standard_copy9_true.pkg.c,v.100.c,V,8925,0:53
array,standard_copy9_true.pkg.c,v.10.c,V,915,0:00
array,standard_copyInitSum_true.pkg.c,v.100.c,V,3312,0:10
array,standard_copyInitSum_true.pkg.c,v.10.c,V,342,0:00
array,standard_sentinel_false-def-behavior.pkg.c,v.10.c,E,99,0:00
array,standard_sentinel_false-def-behavior.pkg.c,v.1000.c,E,6039,0:16
array,standard_sentinel_false-def-behavior.pkg.c,v.100.c,E,639,0:00
array,standard_strcpy_original_true.pkg.c,v.10.c,V,924,0:04
array,standard_strcpy_true.pkg.c,v.10.c,V,860,0:02
array,standard_strcpy_true.pkg.c,v.100.c,V,62.5 k,9:07
array,standard_two_index_01_true.pkg.c,v.100.c,V,2911,0:11
array,standard_two_index_01_true.pkg.c,v.10.c,V,301,0:00
array,standard_two_index_02_true.pkg.c,v.100.c,V,1761,0:05
array,standard_two_index_02_true.pkg.c,v.10.c,V,186,0:00
array,standard_two_index_02_true.pkg.c,v.1000.c,V,17.5 k,7:52
array,standard_two_index_03_true.pkg.c,v.1000.c,V,13.7 k,4:52
array,standard_two_index_03_true.pkg.c,v.100.c,V,1370,0:03
